rank,year,make,model,trim,trim_tier,price,price_history,trend,weeks_tracked,price_first_seen,price_last_week,price_change_week,price_change_total,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url_region_hint,url_region_status,url,score,source
12,2019,Subaru,Forester,limited,2,22995,No change noted,Unchanged for 1 weeks,1,22995,22995,0,0,148042,Unknown,Gas,Unknown,N/A,Unknown,Private,"Regina, SK","Regina, SK",,disabled_unverified_location,1740690889,winnipeg,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/winnipeg/2019-subaru-forester-limited/1740690889,,Kijiji
13,2019,Subaru,Forester,touring,3,23435,No change noted,Down $60 over 1 weeks,1,23495,23495,-60,-60,56171,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1740294530,ville-de-montreal,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2019-subaru-forester-touring-awd-cruise-mags-nouvel-arrivage/1740294530,,Kijiji
14,2019,Subaru,Forester,Unknown,1,23995,No change noted,Unchanged for 1 weeks,1,23995,23995,0,0,95121,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1740606317,bedford,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/bedford/2019-subaru-forester-premier-w-eyesight-one-owner-brown-leath/1740606317,,Kijiji
15,2019,Subaru,Forester,sport,2,23995,No change noted,Unchanged for 3 weeks,3,23995,23995,0,0,97700,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1739918288,annapolis-valley,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/annapolis-valley/2019-subaru-forester-sport-w-eyesight-awd-low-km-loaded/1739918288,,Kijiji
16,2019,Subaru,Forester,convenience,1,24995,No change noted,First seen this week,0,24995,24995,0,0,54011,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1740933152,belleville,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/belleville/subaru-forester-x-convenience-2019/1740933152,,Kijiji
17,2019,Subaru,Forester,convenience,1,25873,No change noted,"Down $1,319 over 11 weeks",11,27192,25873,0,-1319,94670,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1736868827,grande-prairie,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/grande-prairie/2019-subaru-forester-convenience/1736868827,,Kijiji
18,2019,Subaru,Forester,limited,2,25933,No change noted,Unchanged for 2 weeks,2,25933,25933,0,0,85440,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1740420392,thunder-bay,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/thunder-bay/2019-subaru-forester-2-5i-limited/1740420392,,Kijiji
19,2020,Subaru,Forester,Unknown,1,19988,No change noted,"Down $1,011 over 11 weeks",11,20999,19988,0,-1011,194543,Unknown,Gas,No accidents reported,N/A,Unknown,Dealer,"Edmonton, AB","Edmonton, AB",,disabled_unverified_location,1737185247,edmonton,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/edmonton/2020-subaru-forester-awd-premier/1737185247,,Kijiji
20,2020,Subaru,Forester,sport,2,22995,No change noted,"Down $1,000 over 4 weeks",4,23995,22995,0,-1000,153781,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1739597463,bridgewater,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/bridgewater/2020-subaru-forester-sport/1739597463,,Kijiji
21,2020,Subaru,Forester,limited,2,23295,No change noted,Down $700 over 4 weeks,4,23995,23295,0,-700,99778,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1739649964,ville-de-montreal,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2020-subaru-forester-limited-sieges-chauff-cuir-toit-pano/1739649964,,Kijiji
22,2020,Subaru,Forester,convenience,1,24488,No change noted,Unchanged for 1 weeks,1,24488,24488,0,0,46637,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1740606529,mississauga-peel-region,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2020-subaru-forester-convenience-awd-cam-bt-heated-seat/1740606529,,Kijiji
23,2020,Subaru,Forester,touring,3,24693,No change noted,Down $300 over 3 weeks,3,24993,24693,0,-300,61620,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1740035624,longueuil-rive-sud,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/longueuil-rive-sud/2020-subaru-forester-touring-eyesight-camera-de-recul-banc-c/1740035624,,Kijiji
24,2020,Subaru,Forester,convenience,1,24993,No change noted,Unchanged for 1 weeks,1,24993,24993,0,0,31199,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1740578471,longueuil-rive-sud,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/longueuil-rive-sud/2020-subaru-forester-convenience-camera-recul-carplay/1740578471,,Kijiji
25,2020,Subaru,Forester,sport,2,24993,No change noted,"Down $1,000 over 4 weeks",4,25993,24993,0,-1000,42616,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1739619078,longueuil-rive-sud,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/longueuil-rive-sud/2020-subaru-forester-sport-toit-ouvrant-phare-a-del-carplay/1739619078,,Kijiji
26,2020,Subaru,Forester,limited,2,24995,No change noted,"Down $1,000 over 9 weeks",9,25995,24995,0,-1000,130400,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",,disabled_unverified_location,1738417932,calgary,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/calgary/2020-subaru-forester-limited/1738417932,,Kijiji
27,2020,Subaru,Forester,convenience,1,25798,No change noted,Down $1 over 1 weeks,1,25799,25799,-1,-1,81255,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1740703842,regina,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/regina/2020-subaru-forester-convenience/1740703842,,Kijiji
28,2020,Subaru,Forester,Unknown,1,26988,No change noted,"Down $1,000 over 5 weeks",5,27988,26988,0,-1000,86874,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1739453141,markham-york-region,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/markham-york-region/2020-subaru-forester-premier-premier-nappa-leather/1739453141,,Kijiji
29,2020,Subaru,Forester,touring,3,27900,No change noted,Unchanged for 4 weeks,4,27900,27900,0,0,107214,Unknown,Gas,Unknown,N/A,Unknown,Private,"Saskatoon, SK","Saskatoon, SK",,disabled_unverified_location,1739549987,saskatoon,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/saskatoon/2020-subaru-forester-touring-sunroof-heated-seats/1739549987,,Kijiji
30,2020,Subaru,Forester,limited,2,29988,No change noted,Unchanged for 1 weeks,1,29988,29988,0,0,22000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1740800133,oakville-halton-region,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/oakville-halton-region/2020-subaru-forester-limited-awd-navi-pano-roof-tech-feats/1740800133,,Kijiji
31,2021,Subaru,Forester,touring,3,19995,No change noted,Unchanged for 9 weeks,9,19995,19995,0,0,191850,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1737823176,annapolis-valley,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/annapolis-valley/2021-subaru-forester-touring-awd-clean-loaded-new-inspecti/1737823176,,Kijiji
32,2021,Subaru,Forester,touring,3,21499,No change noted,Unchanged for 1 weeks,1,21499,21499,0,0,145000,Unknown,Gas,Accident reported,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1740835339,sudbury,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/sudbury/2021-subaru-forester-touring/1740835339,,Kijiji
33,2021,Subaru,Forester,Unknown,1,22500,No change noted,Unchanged for 1 weeks,1,22500,22500,0,0,126000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1740791226,city-of-toronto,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/clean-title/1740791226,,Kijiji
34,2021,Subaru,Forester,touring,3,22995,No change noted,Unchanged for 10 weeks,10,22995,22995,0,0,154400,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1737713877,annapolis-valley,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/annapolis-valley/2021-subaru-forester-2-5i-touring-awd-clean-loaded-priced/1737713877,,Kijiji
35,2021,Subaru,Forester,convenience,1,22995,No change noted,Unchanged for 11 weeks,11,22995,22995,0,0,162000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1724447213,fredericton,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/fredericton/2021-subaru-forester-convenience/1724447213,,Kijiji
36,2021,Subaru,Forester,convenience,1,23490,No change noted,Down $300 over 2 weeks,2,23790,23490,0,-300,92912,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1738215826,bedford,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/bedford/2021-subaru-forester-2-5i-convenience/1738215826,,Kijiji
37,2021,Subaru,Forester,Unknown,1,23988,No change noted,Unchanged for 11 weeks,11,23988,23988,0,0,127416,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",,disabled_unverified_location,1735778502,calgary,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/calgary/2021-subaru-forester-2-5i-backup-camera-heated-seats-lane-assit/1735778502,,Kijiji
38,2021,Subaru,Forester,sport,2,23995,No change noted,Up $285 over 2 weeks,2,23710,23995,0,285,116573,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1740251351,laval-rive-nord,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2021-subaru-forester-sport-sieges-chauffants-toit-ouvrant-bi/1740251351,,Kijiji
39,2021,Subaru,Forester,Unknown,1,24886,No change noted,Down $900 over 9 weeks,9,25786,24886,0,-900,111671,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1737345429,markham-york-region,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/markham-york-region/2021-subaru-forester-premier-new-brakes-accident-free/1737345429,,Kijiji
40,2021,Subaru,Forester,Unknown,1,24998,No change noted,Unchanged for 3 weeks,3,24998,24998,0,0,48009,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1739685053,annapolis-valley,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/annapolis-valley/2021-subaru-forester-priced-to-move-backup-cam-call-now/1739685053,,Kijiji
41,2021,Subaru,Forester,Unknown,1,24998,No change noted,Unchanged for 11 weeks,11,24998,24998,0,0,80534,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",,disabled_unverified_location,1736516658,calgary,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/calgary/2021-subaru-forester-premier/1736516658,,Kijiji
42,2021,Subaru,Forester,limited,2,25888,No change noted,Unchanged for 1 weeks,1,25888,25888,0,0,132270,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1740696399,mississauga-peel-region,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2021-subaru-forester-limited-limited-1owner-clean-carfax/1740696399,,Kijiji
43,2021,Subaru,Forester,limited,2,25998,No change noted,"Down $1,000 over 4 weeks",4,26998,26998,-1000,-1000,127246,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1739454333,oakville-halton-region,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/oakville-halton-region/2021-subaru-forester-2-5i-limited-eyesight-leather-navi-2-sets-t/1739454333,,Kijiji
44,2021,Subaru,Forester,limited,2,26895,No change noted,Unchanged for 1 weeks,1,26895,26895,0,0,82109,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1740669494,ville-de-montreal,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2021-subaru-forester-limited-awd-cuir-toit-ouvrant-apple-c/1740669494,,Kijiji
45,2021,Subaru,Forester,limited,2,26993,No change noted,Unchanged for 1 weeks,1,26993,26993,0,0,77907,2.5L,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1740580144,longueuil-rive-sud,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/longueuil-rive-sud/2021-subaru-forester-limited-2-5l-navi-cuir-harman-kardon/1740580144,,Kijiji
46,2021,Subaru,Forester,sport,2,27210,No change noted,Up $605 over 11 weeks,11,26605,27210,0,605,146426,Unknown,Gas,Unknown,N/A,Unknown,Unknown,"Calgary, AB","Calgary, AB",,disabled_unverified_location,1737933869,calgary,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/calgary/2021-subaru-forester-sport/1737933869,,Kijiji
47,2021,Subaru,Forester,convenience,1,27900,No change noted,Down $445 over 9 weeks,9,28345,27900,0,-445,88303,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1724490062,regina,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/regina/2021-subaru-forester-convenience-awd-starlink-heated-seats/1724490062,,Kijiji
48,2021,Subaru,Forester,touring,3,27988,No change noted,Down $900 over 2 weeks,2,28888,27988,0,-900,43481,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1740422761,mississauga-peel-region,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2021-subaru-forester-touring-touring-awd-2-sets-rims-tire/1740422761,,Kijiji
49,2021,Subaru,Forester,limited,2,28488,No change noted,Unchanged for 3 weeks,3,28488,28488,0,0,67421,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1739964586,markham-york-region,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/markham-york-region/2021-subaru-forester-limited-limited-one-owner-no-accidents/1739964586,,Kijiji
50,2021,Subaru,Forester,sport,2,28999,No change noted,Unchanged for 1 weeks,1,28999,28999,0,0,84976,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Edmonton, AB","Edmonton, AB",,disabled_unverified_location,1740700078,edmonton,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/edmonton/2021-subaru-forester-sport-certified-sunroof/1740700078,,Kijiji
51,2021,Subaru,Forester,Unknown,1,29988,No change noted,Unchanged for 5 weeks,5,29988,29988,0,0,74558,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1739498609,fredericton,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/fredericton/2021-subaru-forester-premier/1739498609,,Kijiji
52,2021,Subaru,Forester,touring,3,31499,No change noted,Unchanged for 1 weeks,1,31499,31499,0,0,34000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1740561887,brockville,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/brockville/2021-subaru-forester-touring/1740561887,,Kijiji
53,2022,Subaru,Forester,premium,1,19988,No change noted,Unchanged for 11 weeks,11,19988,19988,0,0,170907,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",,disabled_unverified_location,1734645734,calgary,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/calgary/2022-subaru-forester-premium-fully-inspected/1734645734,,Kijiji
54,2022,Subaru,Forester,touring,3,21495,No change noted,Unchanged for 8 weeks,8,21495,21495,0,0,181000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1728211328,fredericton,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/fredericton/2022-subaru-forester-touring/1728211328,,Kijiji
55,2022,Subaru,Forester,Unknown,1,22995,No change noted,Unchanged for 2 weeks,2,22995,22995,0,0,147000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1740365694,summerside-pei,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/summerside-pei/2022-subaru-forester/1740365694,,Kijiji
56,2022,Subaru,Forester,Unknown,1,24995,No change noted,"Down $1,000 over 11 weeks",11,25995,24995,0,-1000,49187,2.5L,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1730092326,longueuil-rive-sud,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/longueuil-rive-sud/2022-subaru-forester-2-5l-bancs-chauffants-carplay/1730092326,,Kijiji
57,2022,Subaru,Forester,touring,3,24995,No change noted,"Down $2,000 over 11 weeks",11,26995,24995,0,-2000,123337,Unknown,Gas,No accidents reported,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1735599733,hamilton,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/hamilton/2022-subaru-forester-touring-awd-no-accidents/1735599733,,Kijiji
58,2022,Subaru,Forester,Unknown,1,24995,No change noted,Unchanged for 11 weeks,11,24995,24995,0,0,140000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Regina, SK","Regina, SK",,disabled_unverified_location,1735016745,winnipeg,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/winnipeg/2022-subaru-forester-cvt/1735016745,,Kijiji
59,2022,Subaru,Forester,touring,3,25800,No change noted,"Down $2,000 over 11 weeks",11,27800,25800,0,-2000,113987,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Regina, SK","Regina, SK",,disabled_unverified_location,1735957227,winnipeg,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/winnipeg/2022-subaru-forester-touring-cvt/1735957227,,Kijiji
60,2022,Subaru,Forester,convenience,1,25988,No change noted,Unchanged for 5 weeks,5,25988,25988,0,0,124998,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",,disabled_unverified_location,1739436345,calgary,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/calgary/2022-subaru-forester-convenience-backup-camera-lane-assist-push/1739436345,,Kijiji
61,2022,Subaru,Forester,touring,3,27888,No change noted,Unchanged for 2 weeks,2,27888,27888,0,0,109198,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",,disabled_unverified_location,1740289226,calgary,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/calgary/2022-subaru-forester-touring/1740289226,,Kijiji
62,2022,Subaru,Forester,convenience,1,27990,No change noted,Unchanged for 2 weeks,2,27990,27990,0,0,50000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1739704048,bedford,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/bedford/2022-subaru-forester-convenience/1739704048,,Kijiji
63,2022,Subaru,Forester,Unknown,1,27995,No change noted,Unchanged for 2 weeks,2,27995,27995,0,0,62021,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1740106069,belleville,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/belleville/2022-subaru-forester-premier-cvt-for-sale/1740106069,,Kijiji
64,2022,Subaru,Forester,wilderness,3,28900,No change noted,Unchanged for 1 weeks,1,28900,28900,0,0,166000,Unknown,Gas,Unknown,N/A,Unknown,Unknown,"Edmonton, AB","Edmonton, AB",,disabled_unverified_location,1740547795,edmonton,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/edmonton/2022-subaru-forester-wilderness-package/1740547795,,Kijiji
65,2022,Subaru,Forester,touring,3,28988,No change noted,Unchanged for 1 weeks,1,28988,28988,0,0,86378,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1740647848,guelph,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/guelph/2022-subaru-forester-touring-awd-sunroof-adaptive-cruise/1740647848,,Kijiji
66,2022,Subaru,Forester,Unknown,1,29500,No change noted,Unchanged for 1 weeks,1,29500,29500,0,0,37000,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1740526178,ville-de-montreal,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2022-subaru-forester-2-5i-cvt/1740526178,,Kijiji
67,2022,Subaru,Forester,touring,3,30793,No change noted,Down $200 over 3 weeks,3,30993,30793,0,-200,24548,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1739936639,longueuil-rive-sud,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/longueuil-rive-sud/2022-subaru-forester-touring-eyesight-camera-de-recul-banc-c/1739936639,,Kijiji
68,2022,Subaru,Forester,wilderness,3,31395,No change noted,Unchanged for 4 weeks,4,31395,31395,0,0,60512,Unknown,Gas,Unknown,N/A,Unknown,Private,"Canmore, AB","Canmore, AB",,disabled_unverified_location,1739723479,longueuil-rive-sud,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/longueuil-rive-sud/2022-subaru-forester-wilderness/1739723479,,Kijiji
69,2022,Subaru,Forester,convenience,1,31971,No change noted,Unchanged for 1 weeks,1,31971,31971,0,0,36304,Unknown,Gas,Unknown,N/A,Unknown,Dealer,"Calgary, AB","Calgary, AB",,disabled_unverified_location,1740885123,calgary,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/calgary/2022-subaru-forester-convenience/1740885123,,Kijiji
70,2022,Subaru,Forester,sport,2,33398,No change noted,Unchanged for 1 weeks,1,33398,33398,0,0,75848,Unknown,Gas,Unknown,N/A,Unknown,Unknown,"Saskatoon, SK","Saskatoon, SK",,disabled_unverified_location,1740704458,saskatoon,unverified_url_evidence,https://www.kijiji.ca/v-cars-trucks/saskatoon/2022-subaru-forester-sport-awd-heated-seats-wheel/1740704458,,Kijiji
