rank,year,make,model,trim,trim_tier,price,price_history,mileage,engine,fuel,accident_flag,days_on_market,dealer,seller_type,dealer_address,location,distance_km,distance_method,listing_id,url,score,source
37,2021,Ford,F 150,Lariat  - Leather Seats -  Cooled Seats,3,43148,No change noted,94171,2.7L,Gasoline,Accident reported,N/A,Camrose Toyota,Dealer,"3411 48 Avenue, Camrose, AB, T4V 1L8","Camrose, AB",142,address,9d1ee9a5-e36b-4766-b78b-6b28f2938656,https://www.autotrader.ca/offers/ford-f-150-lariat-leather-seats-cooled-seats-gasoline-white-9d1ee9a5-e36b-4766-b78b-6b28f2938656,0.4055078565856533,AutoTrader
38,2023,Ford,F 150,XLT DEALER OWNED | LEASE RETURN | BENCH SEAT | 4X4,2,33312,No change noted,170918,5.0L,Gasoline,Unknown,N/A,Cam Clark Ford Calgary/Airdrie,Dealer,"1001 Highland Park Blvd NE, AIRDRIE, AB, T4A0R2","AIRDRIE, AB",118,address,2dfbc338-0cf4-4c17-badd-b4c4bdf3f1aa,https://www.autotrader.ca/offers/ford-f-150-xlt-dealer-owned--lease-return--bench-seat--4x4-gasoline-grey-2dfbc338-0cf4-4c17-badd-b4c4bdf3f1aa,0.40974436005001164,AutoTrader
39,2022,Ford,F 150,Lariat,3,45750,"Reduced from $ 46,888,-",119970,3.5L,Gasoline,No accidents reported,N/A,Adrenalin Motors,Dealer,"3-Hwy 20, Sylvan Lake, AB, T4S 1Z7","Sylvan Lake, AB",23,address,1765675b-227c-4800-823d-76ad2574d182,https://www.autotrader.ca/offers/ford-f-150-lariat-gasoline-1765675b-227c-4800-823d-76ad2574d182,0.41013220037903053,AutoTrader
40,2018,Ford,F 150,Limited 4WD SuperCrew 5.5' Box,3,32895,No change noted,177000,3.5L,Gasoline,No accidents reported,N/A,Start N Go Auto,Dealer,"1710 Idylwyld Dr N, Saskatoon, SK, S7L 1B3","Saskatoon, SK",539,address,9f163500-0b2e-4612-92d8-4aa1070ad9e2,https://www.autotrader.ca/offers/ford-f-150-limited-4wd-supercrew-5-5-box-gasoline-black-9f163500-0b2e-4612-92d8-4aa1070ad9e2,0.41155058745078443,AutoTrader
41,2022,Ford,F 150,"XLT 6.5 box, Max Trailer Tow, heated seats, remot",2,36999,No change noted,164176,3.5L,Gasoline,No accidents reported,N/A,Cam Clark Ford Red Deer,Dealer,"417 Lantern Street, RED DEER, AB, T4E0A5","RED DEER, AB",8,address,1e4b48e8-458c-4daf-9f1f-fadd00d4d863,https://www.autotrader.ca/offers/ford-f-150-xlt-6-5-box-max-trailer-tow-heated-seats-remot-gasoline-white-1e4b48e8-458c-4daf-9f1f-fadd00d4d863,0.4184389661821259,AutoTrader
42,2022,Ford,F 150,Lariat  - Leather Seats,3,46999,No change noted,88723,2.7L,Gasoline,No accidents reported,N/A,Legacy Ford Ponoka,Dealer,"6305 - 42 Avenue, PONOKA, AB, T4J1J8","PONOKA, AB",54,address,b2d88305-6dd1-4735-bb22-2401249570a9,https://www.autotrader.ca/offers/ford-f-150-lariat-leather-seats-gasoline-grey-b2d88305-6dd1-4735-bb22-2401249570a9,0.41996419763385257,AutoTrader
43,2022,Ford,F 150,Platinum MOONROOF | HEATED STEERING | HEAT + COOLI,3,44606,No change noted,175642,3.5L,Gas/Electric Hybrid,Unknown,N/A,Cam Clark Ford Calgary/Airdrie,Dealer,"1001 Highland Park Blvd NE, AIRDRIE, AB, T4A0R2","AIRDRIE, AB",118,address,3a3f392a-33d2-410d-bed6-848b229ee379,https://www.autotrader.ca/offers/ford-f-150-platinum-moonroof--heated-steering--heat-cooli-gas-electric-hybrid-blue-3a3f392a-33d2-410d-bed6-848b229ee379,0.42982960168737444,AutoTrader
44,2021,Ford,F 150,Lariat SuperCrew 145 | Power Tailgate | MoonRoof |,3,46500,No change noted,76203,3.5L,Gasoline,Unknown,N/A,Waterloo Ford,Dealer,"11420 - 107 Ave, Edmonton, AB, T5H 0Y5","Edmonton, AB",155,address,aea10e2e-214c-4fef-979e-fdba05d62faa,https://www.autotrader.ca/offers/ford-f-150-lariat-supercrew-145--power-tailgate--moonroof--gasoline-blue-aea10e2e-214c-4fef-979e-fdba05d62faa,0.4322041431310198,AutoTrader
45,2019,Ford,F 150,XLT,2,29995,No change noted,189595,2.7L,Gasoline,Accident reported,N/A,Boundary Ford Sales,Dealer,"2502-50th Avenue, Lloydminster, SK, T9V2S3","Lloydminster, SK",368,city_center,146c27ee-555f-4629-91fa-08f405e6f4b3,https://www.autotrader.ca/offers/ford-f-150-xlt-gasoline-red-146c27ee-555f-4629-91fa-08f405e6f4b3,0.43285909563503466,AutoTrader
46,2022,Ford,F 150,XLT,2,35999,No change noted,112155,3.5L,Gasoline,Unknown,N/A,Strathmore Ford,Dealer,"1040 - Westridge Road, Strathmore, AB, T1P 1H8","Strathmore, AB",186,address,9b13b2f0-4d7e-4898-aa59-99e3e7930553,https://www.autotrader.ca/offers/ford-f-150-xlt-gasoline-white-9b13b2f0-4d7e-4898-aa59-99e3e7930553,0.43287352731080625,AutoTrader
47,2022,Ford,F 150,LARIAT - HEATED SEATS HEATED WHEEL,3,44777,No change noted,128669,2.7L,Gasoline,Unknown,N/A,Okotoks Chevrolet Buick GMC Ltd.,Dealer,"101 Northgate Drive, OKOTOKS, AB, T1S0H9","OKOTOKS, AB",185,address,d9fe4b33-bc8d-490d-aa1e-2f86fbdd2bbd,https://www.autotrader.ca/offers/ford-f-150-lariat-heated-seats-heated-wheel-gasoline-d9fe4b33-bc8d-490d-aa1e-2f86fbdd2bbd,0.4342174399815418,AutoTrader
48,2020,Ford,F 150,"XLT SuperCrew, As Traded, Great Farm Truck!",2,19999,No change noted,224164,2.7L,Gasoline,Unknown,N/A,Velocity Ford,Dealer,"661 Thatcher Dr E, Moose Jaw, SK, S6J 1L8","Moose Jaw, SK",799,city_center,da032e98-7911-4c59-aaa8-1cd0adaa5ea9,https://www.autotrader.ca/offers/ford-f-150-xlt-supercrew-as-traded-great-farm-truck-gasoline-white-da032e98-7911-4c59-aaa8-1cd0adaa5ea9,0.4375476494879285,AutoTrader
49,2016,Ford,F 150,XLT | 4X4 | 5.0L | BACK UP CAM |,2,19995,No change noted,236072,5.0L,Gasoline,Unknown,N/A,OLYMPIC SUPER CENTER,Dealer,"665 University Park Dr, REGINA, SK, S4R2V8","REGINA, SK",790,address,fa7e8adf-7acb-4ac5-bb79-b9e9ef894807,https://www.autotrader.ca/offers/ford-f-150-xlt--4x4--5-0l--back-up-cam--gasoline-red-fa7e8adf-7acb-4ac5-bb79-b9e9ef894807,0.4382622800909162,AutoTrader
50,2023,Ford,F 150,XLT 4x4 | Tow Hooks | Hitch | Crew Cab | EcoBoost,2,41985,No change noted,70708,3.5L,Gasoline,Accident reported,N/A,Kia Red Deer,Dealer,"2949 50 Ave, Red Deer, AB, T4R1H1","Red Deer, AB",3,address,b67b5694-8266-4984-a7c5-f9014583e2e8,https://www.autotrader.ca/offers/ford-f-150-xlt-4x4--tow-hooks--hitch--crew-cab--ecoboost-gasoline-white-b67b5694-8266-4984-a7c5-f9014583e2e8,0.4399180158401201,AutoTrader
